Tanggal,Jumlah sampah
01/01/2021,27726357
02/01/2021,25972150
03/01/2021,27274067
04/01/2021,25987925
05/01/2021,26324717
06/01/2021,26027415
07/01/2021,23661096
08/01/2021,25653848
09/01/2021,25318725
10/01/2021,27064203
11/01/2021,28685195
12/01/2021,29487597
01/01/2022,27360585
02/01/2022,24576330
03/01/2022,28341823
04/01/2022,28538712
05/01/2022,26664953
06/01/2022,26595782
07/01/2022,27482173
08/01/2022,26489647
09/01/2022,24513472
10/01/2022,24234613
11/01/2022,23656746
12/01/2022,25378824
01/01/2023,23755230
02/01/2023,20922000
03/01/2023,22778260
04/01/2023,18797930
05/01/2023,16916160
06/01/2023,25665690
