Tanggal,Jumlah sampah,Prediksi Jumlah Sampah
2021-01-01,27726357,
2021-02-01,25972150,
2021-03-01,27274067,
2021-04-01,25987925,
2021-05-01,26324717,
2021-06-01,26027415,
2021-07-01,23661096,
2021-08-01,25653848,
2021-09-01,25318725,
2021-10-01,27064203,
2021-11-01,28685195,
2021-12-01,29487597,
2022-01-01,27360585,
2022-02-01,24576330,
2022-03-01,28341823,
2022-04-01,28538712,
2022-05-01,26664953,
2022-06-01,26595782,
2022-07-01,27482173,
2022-08-01,26489647,
2022-09-01,24513472,
2022-10-01,24234613,
2022-11-01,23656746,
2022-12-01,25378824,25433948.68877759
2023-01-01,,27573124.669968247
2023-02-01,,28001346.895010542
2023-03-01,,26660842.90746001
2023-04-01,,26801742.080039553
2023-05-01,,26431311.45154699
2023-06-01,,26979769.1551467
2023-07-01,,29330980.851419717
2023-08-01,,27599628.672655087
2023-09-01,,27150137.617308967
2023-10-01,,27784659.208338533
2023-11-01,,28334792.75981519
2023-12-01,,24421462.85159931
